tanggal;tinggi_gelombang
07/01/2016;0,1000
08/01/2016;0,0958
09/01/2016;0,1250
10/01/2016;0,0625
11/01/2016;0,1042
12/01/2016;0,0946
13/01/2016;0,1475
14/01/2016;0,0458
15/01/2016;0,1613
16/01/2016;0,1000
17/01/2016;0,0625
18/01/2016;0,0958
19/01/2016;0,1167
20/01/2016;0,1967
21/01/2016;0,2000
22/01/2016;0,1375
23/01/2016;0,1333
24/01/2016;0,1583
25/01/2016;0,1958
26/01/2016;0,2000
27/01/2016;0,2000
28/01/2016;0,1292
29/01/2016;0,1083
30/01/2016;0,1583
31/01/2016;0,3417
01/02/2016;0,4958
02/02/2016;0,5000
03/02/2016;0,4292
04/02/2016;0,2458
05/02/2016;0,1958
06/02/2016;0,1000
07/02/2016;0,1000
08/02/2016;0,1333
09/02/2016;0,3000
10/02/2016;0,3792
11/02/2016;0,5958
12/02/2016;0,5958
13/02/2016;0,2917
14/02/2016;0,1167
15/02/2016;0,0958
16/02/2016;0,1000
17/02/2016;0,1000
18/02/2016;0,1292
19/02/2016;0,2000
20/02/2016;0,1167
21/02/2016;0,1583
22/02/2016;0,2833
23/02/2016;0,3000
24/02/2016;0,3000
25/02/2016;0,3708
26/02/2016;0,4333
27/02/2016;0,4000
28/02/2016;0,4000
29/02/2016;0,4750
01/03/2016;0,3137
02/03/2016;0,2330
03/03/2016;0,3097
04/03/2016;0,2417
05/03/2016;0,2000
